"id","age","learn_freq","totalmin","nbr_freq","nbr_id","mode"
110103,7,0,276,8,110128,"Horizontal Intrafamilial"
110103,7,3,276,12,110125,"Vertical"
110103,7,2,276,10,110153,"Horizontal Extrafamilial"
110104,10,0,46,3,110128,"Horizontal Intrafamilial"
110104,10,0,46,9,110109,"Horizontal Extrafamilial"
110108,8,0,230,15,110103,"Horizontal Intrafamilial"
110108,8,5,230,7,110156,"Horizontal Intrafamilial"
110109,8,0,276,15,110111,"Horizontal Extrafamilial"
110109,8,0,276,20,110104,"Horizontal Extrafamilial"
110111,5,3,276,25,110104,"Horizontal Extrafamilial"
110111,5,0,276,19,110127,"Horizontal Extrafamilial"
110111,5,2,276,2,110129,"Vertical"
110111,5,0,276,17,110108,"Horizontal Extrafamilial"
110111,5,1,276,28,110109,"Horizontal Extrafamilial"
120103,5,6,276,29,120142,"Horizontal Intrafamilial"
120103,5,2,276,16,120138,"Vertical"
120103,5,1,276,6,120137,"Remote Generation"
120103,5,0,276,1,120110,"Horizontal Extrafamilial"
120104,4,0,274,12,120158,"Horizontal Extrafamilial"
120104,4,4,274,24,120140,"Horizontal Extrafamilial"
120107,13,0,230,6,120111,"Horizontal Extrafamilial"
120108,15,0,229,39,120105,"Horizontal Extrafamilial"
120108,15,1,229,30,120110,"Horizontal Extrafamilial"
120108,15,1,229,12,120129,"Oblique Extrafamilial"
120108,15,1,229,17,120136,"Oblique Extrafamilial"
120108,15,0,229,12,120133,"Oblique Extrafamilial"
120109,13,0,276,8,120104,"Horizontal Intrafamilial"
120109,13,0,276,5,121,"Horizontal Extrafamilial"
120110,16,4,276,32,120108,"Horizontal Extrafamilial"
120110,16,0,276,34,120105,"Horizontal Intrafamilial"
120110,16,0,276,22,120129,"Oblique Extrafamilial"
120110,16,0,276,4,110,"Horizontal Extrafamilial"
120111,16,0,184,5,120107,"Horizontal Extrafamilial"
120111,16,0,184,14,120122,"Horizontal Intrafamilial"
120111,16,0,184,5,120106,"Horizontal Intrafamilial"
120203,6,1,180,12,120243,"Vertical"
120204,6,0,186,15,120225,"Horizontal Extrafamilial"
120204,6,1,186,13,120203,"Horizontal Intrafamilial"
120204,6,0,186,9,120229,"Horizontal Extrafamilial"
120204,6,1,186,14,120241,"Horizontal Intrafamilial"
120206,13,0,271,15,120235,"Horizontal Extrafamilial"
120206,13,0,271,30,120254,"Horizontal Intrafamilial"
120206,13,0,271,16,120259,"Oblique Intrafamilial"
120207,13,0,273,1,120243,"Oblique Intrafamilial"
120208,6,1,225,11,120241,"Horizontal Extrafamilial"
120208,6,2,225,7,120246,"Remote Generation"
120208,6,1,225,12,120261,"Horizontal Extrafamilial"
120208,6,7,225,13,120252,"Vertical"
120208,6,3,225,14,120251,"Vertical"
120208,6,0,225,7,120254,"Horizontal Extrafamilial"
120208,6,0,225,8,120204,"Horizontal Extrafamilial"
120208,6,0,225,12,120224,"Horizontal Extrafamilial"
120208,6,1,225,5,120207,"Horizontal Extrafamilial"
130401,10,1,277,23,130431,"Horizontal Extrafamilial"
130401,10,0,277,3,130421,"Vertical"
130401,10,0,277,3,130428,"Oblique Intrafamilial"
130401,10,0,277,33,130432,"Horizontal Intrafamilial"
130401,10,0,277,28,130402,"Horizontal Intrafamilial"
130401,10,0,277,21,130435,"Horizontal Extrafamilial"
130401,10,0,277,23,130405,"Horizontal Extrafamilial"
130402,13,0,245,1,130440,"Horizontal Extrafamilial"
130402,13,0,245,9,130405,"Horizontal Extrafamilial"
130402,13,0,245,7,130442,"Horizontal Extrafamilial"
130402,13,0,245,5,130444,"Horizontal Extrafamilial"
130403,8,0,242,3,130405,"Horizontal Extrafamilial"
130403,8,0,242,22,130435,"Horizontal Extrafamilial"
130403,8,0,242,8,130441,"Horizontal Extrafamilial"
130403,8,7,242,33,130401,"Horizontal Intrafamilial"
130405,5,4,271,13,130421,"Oblique Extrafamilial"
130405,5,2,271,21,130432,"Horizontal Extrafamilial"
130405,5,0,271,18,130401,"Horizontal Extrafamilial"
130405,5,0,271,11,130431,"Horizontal Extrafamilial"
130405,5,2,271,17,130435,"Horizontal Intrafamilial"
150104,15,0,270,19,150103,"Horizontal Intrafamilial"
150104,15,1,270,27,150125,"Horizontal Extrafamilial"
150104,15,9,270,26,150130,"Vertical"
150104,15,0,270,16,150132,"Horizontal Intrafamilial"
150106,6,3,322,24,150107,"Horizontal Intrafamilial"
150107,7,0,276,32,150132,"Horizontal Intrafamilial"
150107,7,3,276,10,150130,"Vertical"
150201,6,5,276,5,150234,"Oblique Intrafamilial"
150201,6,2,276,29,150233,"Horizontal Extrafamilial"
150202,5,4,276,11,150231,"Remote Generation"
150202,5,4,276,24,150201,"Horizontal Extrafamilial"
150202,5,0,276,2,150232,"Remote Generation"
150203,5,5,276,17,150221,"Vertical"
150204,14,3,185,7,141,"Oblique Extrafamilial"
150204,14,2,185,7,150220,"Oblique Intrafamilial"
150205,12,0,276,52,150238,"Horizontal Intrafamilial"
150205,12,0,276,43,150233,"Horizontal Intrafamilial"
150205,12,4,276,30,150201,"Horizontal Extrafamilial"
150205,12,4,276,8,150203,"Horizontal Intrafamilial"
150301,4,1,288,13,150309,"Horizontal Intrafamilial"
150301,4,6,288,27,150352,"Oblique Intrafamilial"
150301,4,2,288,15,150323,"Vertical"
150301,4,2,288,10,150321,"Remote Generation"
150301,4,0,288,26,150327,"Horizontal Intrafamilial"
150301,4,1,288,8,150340,"Oblique Extrafamilial"
150302,7,3,276,11,150342,"Vertical"
150305,12,1,276,11,150350,"Vertical"
150305,12,1,276,10,150324,"Horizontal Extrafamilial"
150305,12,0,276,36,150306,"Horizontal Extrafamilial"
150306,12,0,276,30,150305,"Horizontal Extrafamilial"
150306,12,2,276,29,150307,"Horizontal Extrafamilial"
150308,16,1,278,24,150304,"Horizontal Extrafamilial"
150308,16,0,278,1,130,"Horizontal Extrafamilial"
150308,16,1,278,14,150356,"Horizontal Extrafamilial"
150308,16,0,278,10,140,"Oblique Extrafamilial"
150308,16,8,278,11,150350,"Vertical"
150309,11,0,191,7,150352,"Oblique Intrafamilial"
150309,11,0,191,13,150301,"Horizontal Intrafamilial"
150310,11,0,92,1,150348,"Oblique Extrafamilial"
150310,11,0,92,4,150304,"Horizontal Extrafamilial"
160101,11,0,186,16,160126,"Horizontal Intrafamilial"
160101,11,0,186,24,160104,"Horizontal Extrafamilial"
160101,11,0,186,13,160122,"Oblique Intrafamilial"
160102,6,2,276,31,160138,"Vertical"
160102,6,1,276,15,160139,"Horizontal Intrafamilial"
160103,4,4,184,23,160104,"Horizontal Intrafamilial"
160103,4,2,184,13,160128,"Vertical"
160103,4,1,184,7,160129,"Vertical"
160104,10,0,184,4,160133,"Oblique Extrafamilial"
110103,7,8,276,11,110126,"Horizontal Intrafamilial"
110103,7,5,276,27,110108,"Horizontal Intrafamilial"
110103,7,1,276,6,110114,"Horizontal Intrafamilial"
110103,7,2,276,8,110136,"Horizontal Extrafamilial"
110103,7,0,276,9,110134,"Oblique Extrafamilial"
110103,7,0,276,11,110127,"Horizontal Intrafamilial"
110103,7,1,276,17,110111,"Horizontal Extrafamilial"
110103,7,0,276,1,110124,"Horizontal Intrafamilial"
110103,7,0,276,1,110146,"Oblique Intrafamilial"
110103,7,1,276,8,110129,"Oblique Extrafamilial"
110103,7,1,276,14,110141,"Horizontal Extrafamilial"
110103,7,0,276,7,110120,"Horizontal Extrafamilial"
110103,7,5,276,6,110155,"Horizontal Extrafamilial"
110103,7,4,276,22,110109,"Horizontal Extrafamilial"
110103,7,6,276,20,110104,"Horizontal Intrafamilial"
110103,7,3,276,4,110144,"Horizontal Extrafamilial"
110103,7,4,276,4,110140,"Horizontal Extrafamilial"
110103,7,0,276,3,110145,"Horizontal Extrafamilial"
110103,7,3,276,3,110115,"Oblique Extrafamilial"
110103,7,2,276,10,110112,"Oblique Intrafamilial"
110103,7,0,276,4,110118,"Oblique Extrafamilial"
110103,7,0,276,9,110119,"Horizontal Extrafamilial"
110103,7,0,276,1,110154,"Oblique Extrafamilial"
110104,10,0,46,9,110111,"Horizontal Extrafamilial"
110104,10,0,46,5,110127,"Horizontal Intrafamilial"
110108,8,1,230,4,110125,"Oblique Intrafamilial"
110108,8,0,230,5,110126,"Horizontal Intrafamilial"
110108,8,0,230,1,110113,"Vertical"
110108,8,0,230,1,110154,"Oblique Extrafamilial"
110108,8,0,230,5,110122,"Oblique Extrafamilial"
110108,8,0,230,1,110152,"Oblique Extrafamilial"
110108,8,0,230,1,110130,"Oblique Extrafamilial"
110108,8,0,230,2,110,"Horizontal Extrafamilial"
110108,8,0,230,6,111,"Horizontal Extrafamilial"
110108,8,0,230,5,121,"Horizontal Extrafamilial"
110108,8,0,230,4,110119,"Horizontal Extrafamilial"
110108,8,0,230,6,110121,"Oblique Intrafamilial"
110108,8,0,230,4,110153,"Horizontal Extrafamilial"
110108,8,0,230,5,110124,"Horizontal Intrafamilial"
110108,8,0,230,8,110141,"Horizontal Extrafamilial"
110108,8,0,230,6,110109,"Horizontal Extrafamilial"
110108,8,1,230,6,110115,"Oblique Intrafamilial"
110108,8,1,230,8,110104,"Horizontal Intrafamilial"
110108,8,0,230,4,110158,"Horizontal Extrafamilial"
110108,8,0,230,1,110159,"Horizontal Extrafamilial"
110109,8,0,276,4,110114,"Horizontal Extrafamilial"
110109,8,0,276,2,110112,"Oblique Extrafamilial"
110109,8,0,276,5,110120,"Horizontal Extrafamilial"
110109,8,3,276,6,110134,"Oblique Extrafamilial"
110109,8,0,276,4,110123,"Oblique Extrafamilial"
110109,8,0,276,1,110154,"Oblique Extrafamilial"
110109,8,0,276,6,110128,"Horizontal Extrafamilial"
110109,8,0,276,13,110127,"Horizontal Extrafamilial"
110109,8,0,276,2,110110,"Horizontal Extrafamilial"
110109,8,4,276,12,131,"Horizontal Extrafamilial"
110109,8,6,276,9,141,"Oblique Extrafamilial"
110109,8,0,276,8,110126,"Horizontal Extrafamilial"
110109,8,0,276,1,110103,"Horizontal Extrafamilial"
110109,8,0,276,4,110159,"Horizontal Extrafamilial"
110109,8,0,276,3,110156,"Horizontal Extrafamilial"
110109,8,0,276,4,110124,"Horizontal Extrafamilial"
110109,8,0,276,4,110108,"Horizontal Extrafamilial"
110109,8,0,276,3,110129,"Oblique Extrafamilial"
110109,8,0,276,3,110121,"Oblique Extrafamilial"
110109,8,0,276,8,110141,"Horizontal Intrafamilial"
110109,8,0,276,5,110157,"Horizontal Extrafamilial"
110109,8,0,276,3,110144,"Horizontal Intrafamilial"
110109,8,0,276,3,110119,"Horizontal Extrafamilial"
110109,8,0,276,2,110145,"Horizontal Intrafamilial"
110110,15,0,276,1,130,"Horizontal Extrafamilial"
110110,15,0,276,1,111,"Horizontal Extrafamilial"
110111,5,0,276,17,110156,"Horizontal Extrafamilial"
110111,5,0,276,15,110103,"Horizontal Extrafamilial"
110111,5,0,276,4,110124,"Horizontal Extrafamilial"
110111,5,0,276,8,110119,"Horizontal Extrafamilial"
110111,5,0,276,1,110128,"Horizontal Extrafamilial"
110111,5,0,276,2,110153,"Horizontal Extrafamilial"
110111,5,0,276,9,110134,"Oblique Intrafamilial"
110111,5,0,276,8,110123,"Oblique Extrafamilial"
110111,5,0,276,8,110121,"Oblique Extrafamilial"
110111,5,1,276,10,110115,"Oblique Extrafamilial"
110111,5,0,276,1,110147,"Oblique Extrafamilial"
110111,5,0,276,5,110141,"Horizontal Intrafamilial"
110111,5,0,276,5,110120,"Horizontal Extrafamilial"
110111,5,0,276,6,110158,"Horizontal Extrafamilial"
110111,5,0,276,3,110157,"Horizontal Extrafamilial"
110111,5,0,276,4,110151,"Horizontal Extrafamilial"
110111,5,0,276,2,110155,"Horizontal Extrafamilial"
110111,5,0,276,3,110114,"Horizontal Extrafamilial"
110111,5,0,276,1,110145,"Horizontal Extrafamilial"
110111,5,0,276,3,110140,"Horizontal Intrafamilial"
110111,5,1,276,1,131,"Horizontal Extrafamilial"
110111,5,0,276,1,110110,"Horizontal Extrafamilial"
110111,5,0,276,1,110118,"Oblique Extrafamilial"
110111,5,0,276,1,110130,"Vertical"
110111,5,0,276,2,130,"Horizontal Extrafamilial"
110111,5,0,276,1,110144,"Horizontal Extrafamilial"
110111,5,0,276,1,110149,"Oblique Extrafamilial"
110111,5,0,276,1,110112,"Oblique Extrafamilial"
110111,5,0,276,1,110159,"Horizontal Extrafamilial"
120103,5,1,276,16,120104,"Horizontal Extrafamilial"
120103,5,5,276,27,120140,"Horizontal Intrafamilial"
120103,5,0,276,5,120145,"Oblique Intrafamilial"
120103,5,0,276,8,120149,"Horizontal Extrafamilial"
120103,5,3,276,8,140,"Oblique Extrafamilial"
120103,5,0,276,5,111,"Horizontal Extrafamilial"
120103,5,0,276,5,120122,"Horizontal Extrafamilial"
120103,5,0,276,3,120,"Horizontal Extrafamilial"
120103,5,0,276,3,120127,"Oblique Intrafamilial"
120103,5,2,276,5,120128,"Oblique Extrafamilial"
120103,5,0,276,3,120124,"Oblique Extrafamilial"
120103,5,0,276,8,120106,"Horizontal Extrafamilial"
120103,5,5,276,5,240,"Oblique Extrafamilial"
120103,5,3,276,9,120143,"Oblique Intrafamilial"
120103,5,0,276,10,120107,"Horizontal Extrafamilial"
120103,5,0,276,11,121,"Horizontal Extrafamilial"
120103,5,1,276,3,120111,"Horizontal Extrafamilial"
120103,5,0,276,1,120129,"Oblique Intrafamilial"
120103,5,0,276,1,120133,"Oblique Intrafamilial"
120103,5,1,276,7,120139,"Vertical"
120103,5,0,276,2,141,"Oblique Extrafamilial"
120103,5,0,276,1,241,"Oblique Extrafamilial"
120103,5,0,276,4,120158,"Horizontal Extrafamilial"
120103,5,0,276,1,220,"Horizontal Extrafamilial"
120103,5,1,276,3,120157,"Horizontal Extrafamilial"
120104,4,3,274,12,120110,"Horizontal Intrafamilial"
120104,4,0,274,6,120157,"Horizontal Extrafamilial"
120104,4,0,274,3,120129,"Oblique Extrafamilial"
120104,4,0,274,3,120108,"Horizontal Extrafamilial"
120104,4,0,274,2,120109,"Horizontal Intrafamilial"
120104,4,0,274,2,120105,"Horizontal Intrafamilial"
120104,4,0,274,17,120103,"Horizontal Extrafamilial"
120104,4,0,274,12,120142,"Horizontal Extrafamilial"
120104,4,0,274,4,120,"Horizontal Extrafamilial"
120104,4,0,274,8,120106,"Horizontal Intrafamilial"
120104,4,0,274,6,110,"Horizontal Extrafamilial"
120104,4,0,274,5,120107,"Horizontal Extrafamilial"
120104,4,0,274,1,120111,"Horizontal Intrafamilial"
120104,4,0,274,1,111,"Horizontal Extrafamilial"
120104,4,0,274,1,120120,"Oblique Intrafamilial"
120104,4,2,274,2,120145,"Oblique Extrafamilial"
120105,14,4,277,31,120110,"Horizontal Intrafamilial"
120105,14,0,277,20,120140,"Horizontal Extrafamilial"
120105,14,0,277,8,120149,"Horizontal Extrafamilial"
120105,14,4,277,34,120108,"Horizontal Extrafamilial"
120105,14,0,277,1,120139,"Oblique Extrafamilial"
120105,14,0,277,4,120109,"Horizontal Intrafamilial"
120105,14,9,277,9,240,"Oblique Extrafamilial"
120105,14,9,277,17,120133,"Oblique Intrafamilial"
120105,14,0,277,9,120129,"Oblique Extrafamilial"
120105,14,9,277,9,120134,"Oblique Intrafamilial"
120105,14,2,277,20,120136,"Oblique Intrafamilial"
120105,14,0,277,1,120153,"Oblique Extrafamilial"
120105,14,0,277,1,120142,"Horizontal Extrafamilial"
120105,14,1,277,3,140,"Oblique Extrafamilial"
120105,14,0,277,3,121,"Horizontal Extrafamilial"
120105,14,0,277,1,120127,"Oblique Intrafamilial"
120105,14,1,277,2,231,"Horizontal Extrafamilial"
120105,14,0,277,1,120135,"Oblique Extrafamilial"
120105,14,0,277,2,120120,"Oblique Intrafamilial"
120105,14,0,277,2,120122,"Horizontal Intrafamilial"
120106,5,0,283,16,120124,"Vertical"
120106,5,0,283,8,120122,"Horizontal Intrafamilial"
120106,5,2,283,9,120104,"Horizontal Intrafamilial"
120106,5,0,283,3,120149,"Horizontal Extrafamilial"
120106,5,0,283,5,120142,"Horizontal Extrafamilial"
120106,5,3,283,11,120103,"Horizontal Extrafamilial"
120106,5,0,283,1,120,"Horizontal Extrafamilial"
120106,5,0,283,5,111,"Horizontal Extrafamilial"
120106,5,1,283,1,120131,"Oblique Intrafamilial"
120106,5,0,283,2,120120,"Oblique Intrafamilial"
120106,5,2,283,3,120140,"Horizontal Extrafamilial"
120106,5,1,283,1,120110,"Horizontal Intrafamilial"
120106,5,0,283,2,121,"Horizontal Extrafamilial"
120106,5,0,283,1,120134,"Oblique Intrafamilial"
120106,5,0,283,1,120135,"Oblique Extrafamilial"
120106,5,0,283,3,120133,"Oblique Intrafamilial"
120106,5,0,283,1,120129,"Oblique Extrafamilial"
120106,5,0,283,1,120107,"Horizontal Extrafamilial"
120106,5,0,283,4,120111,"Horizontal Intrafamilial"
120106,5,0,283,2,140,"Oblique Extrafamilial"
120106,5,0,283,2,110,"Horizontal Extrafamilial"
120107,13,0,230,21,120140,"Horizontal Extrafamilial"
120107,13,1,230,16,120109,"Horizontal Extrafamilial"
120107,13,2,230,11,120110,"Horizontal Extrafamilial"
120107,13,0,230,5,120108,"Horizontal Extrafamilial"
120107,13,0,230,1,141,"Oblique Extrafamilial"
120107,13,1,230,7,120147,"Oblique Intrafamilial"
120107,13,0,230,2,120,"Horizontal Extrafamilial"
120107,13,0,230,4,120128,"Oblique Extrafamilial"
120107,13,0,230,11,120124,"Oblique Extrafamilial"
120107,13,0,230,1,120149,"Horizontal Extrafamilial"
120107,13,0,230,4,120104,"Horizontal Extrafamilial"
120107,13,0,230,6,120136,"Oblique Intrafamilial"
120107,13,1,230,7,120134,"Vertical"
120107,13,4,230,8,120135,"Vertical"
120107,13,0,230,2,120106,"Horizontal Extrafamilial"
120107,13,2,230,6,120137,"Oblique Intrafamilial"
120107,13,0,230,1,120158,"Horizontal Extrafamilial"
120108,15,0,229,3,120128,"Oblique Extrafamilial"
120108,15,0,229,1,240,"Oblique Extrafamilial"
120108,15,0,229,2,230,"Horizontal Extrafamilial"
120108,15,2,229,3,241,"Oblique Extrafamilial"
120108,15,0,229,5,120140,"Horizontal Extrafamilial"
120108,15,1,229,6,120134,"Oblique Extrafamilial"
120108,15,1,229,7,120120,"Oblique Extrafamilial"
120108,15,0,229,2,120147,"Oblique Extrafamilial"
120108,15,1,229,9,120104,"Horizontal Extrafamilial"
120108,15,0,229,4,120135,"Oblique Extrafamilial"
120108,15,0,229,1,120109,"Horizontal Extrafamilial"
120108,15,0,229,1,120157,"Horizontal Extrafamilial"
120108,15,0,229,1,120149,"Horizontal Extrafamilial"
120109,13,0,276,4,120107,"Horizontal Extrafamilial"
120109,13,6,276,20,120145,"Oblique Intrafamilial"
120109,13,0,276,2,111,"Horizontal Extrafamilial"
120109,13,0,276,1,120158,"Horizontal Extrafamilial"
120109,13,3,276,22,120137,"Vertical"
120109,13,1,276,13,120149,"Horizontal Extrafamilial"
120109,13,0,276,1,110,"Horizontal Extrafamilial"
120109,13,0,276,8,120138,"Oblique Intrafamilial"
120109,13,4,276,4,240,"Oblique Extrafamilial"
120109,13,1,276,2,120131,"Oblique Intrafamilial"
120109,13,0,276,3,230,"Horizontal Extrafamilial"
120109,13,0,276,1,120128,"Oblique Intrafamilial"
120109,13,1,276,1,120129,"Oblique Intrafamilial"
120109,13,0,276,1,120105,"Horizontal Intrafamilial"
120109,13,2,276,2,120133,"Oblique Intrafamilial"
120109,13,0,276,1,120157,"Horizontal Extrafamilial"
120110,16,0,276,21,141,"Oblique Extrafamilial"
120110,16,0,276,9,120120,"Oblique Intrafamilial"
120110,16,0,276,5,121,"Horizontal Extrafamilial"
120110,16,0,276,3,120139,"Oblique Extrafamilial"
120110,16,5,276,10,240,"Oblique Extrafamilial"
120110,16,2,276,9,120140,"Horizontal Extrafamilial"
120110,16,0,276,5,120154,"Oblique Intrafamilial"
120110,16,0,276,1,120158,"Horizontal Extrafamilial"
120110,16,0,276,16,120136,"Oblique Intrafamilial"
120110,16,0,276,1,120107,"Horizontal Extrafamilial"
120110,16,0,276,2,120153,"Oblique Extrafamilial"
120110,16,0,276,5,220,"Horizontal Extrafamilial"
